ORIGIN_AIRPORT,ORIGIN_AIRPORT_NAME,ORIGIN_CITY,ORIGIN_STATE,ORIGIN_LAT,ORIGIN_LONG,total_departures,avg_dep_delay,avg_arr_delay,median_dep_delay,delay_rate,avg_taxi_out,unique_airlines,unique_destinations,delay_rate_pct,on_time_rate_pct,cancelled_flights
CLE,Cleveland Hopkins International Airport,Cleveland,OH,41.41,-81.85,561,9.42,4.25,-3.0,0.17,14.11,11,34,17.03,82.97,15
CLL,Easterwood Airport,College Station,TX,30.59,-96.36,34,-3.26,-2.38,-7.0,0.12,10.85,2,2,11.76,88.24,1
CLT,Charlotte Douglas International Airport,Charlotte,NC,35.21,-80.94,1753,7.75,5.26,-2.0,0.2,19.33,10,63,19.99,80.01,21
CMH,Port Columbus International Airport,Columbus,OH,40.0,-82.89,481,10.06,4.23,-3.0,0.19,13.27,8,28,18.96,81.04,7
CMI,University of Illinois - Willard Airport,Champaign/Urbana,IL,40.04,-88.28,28,0.93,0.07,-5.0,0.18,12.57,1,2,17.86,82.14,3
CMX,Houghton County Memorial Airport,Hancock,MI,47.17,-88.49,6,-8.5,-9.83,-8.0,0.0,13.5,1,1,0.0,100.0,0
CNY,Canyonlands Field,Moab,UT,38.75,-109.75,5,3.2,-9.0,-5.0,0.2,8.2,1,1,20.0,80.0,0
COD,Yellowstone Regional Airport,Cody,WY,44.52,-109.02,14,2.79,6.14,-1.5,0.29,16.71,1,2,28.57,71.43,0
COS,City of Colorado Springs Municipal Airport,Colorado Springs,CO,38.81,-104.7,110,4.75,2.55,-3.0,0.16,18.35,4,8,16.36,83.64,3
COU,Columbia Regional Airport,Columbia,MO,38.82,-92.22,20,4.95,-4.05,-4.5,0.11,16.85,1,2,10.53,89.47,2
CPR,Natrona County International Airport,Casper,WY,42.91,-106.46,21,2.05,-1.71,-2.0,0.14,13.43,1,2,14.29,85.71,0
CRP,Corpus Christi International Airport,Corpus Christi,TX,27.77,-97.5,85,19.59,17.23,-3.0,0.23,11.73,4,3,22.62,77.38,1
CRW,Yeager Airport,Charleston,WV,38.37,-81.59,39,22.82,24.87,1.0,0.33,15.74,3,5,33.33,66.67,2
CSG,Columbus Metropolitan Airport,Columbus,GA,32.52,-84.94,21,14.43,11.9,2.0,0.29,9.81,1,1,28.57,71.43,0
CVG,Cincinnati/Northern Kentucky International Airport,Covington,KY,39.05,-84.66,351,9.39,5.42,-3.0,0.17,14.89,5,30,16.81,83.19,9
CWA,Central Wisconsin Airport,Mosinee,WI,44.78,-89.67,18,-0.72,-2.56,-7.0,0.11,11.17,3,2,11.11,88.89,0
