ORIGIN_AIRPORT,ORIGIN_AIRPORT_NAME,ORIGIN_CITY,ORIGIN_STATE,ORIGIN_LAT,ORIGIN_LONG,total_departures,avg_dep_delay,avg_arr_delay,median_dep_delay,delay_rate,avg_taxi_out,unique_airlines,unique_destinations,delay_rate_pct,on_time_rate_pct,cancelled_flights
DAB,Daytona Beach International Airport,Daytona Beach,FL,29.18,-81.06,19,5.89,-2.5,-3.0,0.11,14.11,1,1,11.11,88.89,0
DAL,Dallas Love Field,Dallas,TX,32.85,-96.85,1016,11.46,7.49,0.0,0.2,11.29,4,49,20.0,80.0,11
DAY,James M. Cox Dayton International Airport,Dayton,OH,39.9,-84.22,160,4.62,0.02,-3.0,0.15,14.95,6,10,15.0,85.0,5
DBQ,Dubuque Regional Airport,Dubuque,IA,42.4,-90.71,12,-7.83,-11.5,-8.0,0.0,14.67,1,1,0.0,100.0,0
DCA,Ronald Reagan Washington National Airport,Arlington,VA,38.85,-77.04,1209,7.67,3.36,-3.0,0.19,18.89,12,44,18.57,81.43,39
DEN,Denver International Airport,Denver,CO,39.86,-104.67,3353,11.25,6.7,0.0,0.22,16.02,11,132,21.6,78.4,41
DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,32.9,-97.04,4081,10.89,6.22,-1.0,0.2,17.21,11,147,20.04,79.96,117
DHN,Dothan Regional Airport,Dothan,AL,31.32,-85.45,25,6.32,3.68,-3.0,0.12,11.64,1,1,12.0,88.0,0
DIK,Dickinson Theodore Roosevelt Regional Airport,Dickinson,ND,46.8,-102.8,18,20.22,15.67,-6.5,0.22,15.44,2,2,22.22,77.78,0
DLG,Dillingham Airport,Dillingham,AK,59.05,-158.5,1,-7.0,-19.0,-7.0,0.0,9.0,1,1,0.0,100.0,0
DLH,Duluth International Airport,Duluth,MN,46.84,-92.19,32,5.22,6.78,-2.0,0.16,18.72,2,2,15.62,84.38,1
DRO,Durango-La Plata County Airport,Durango,CO,37.15,-107.75,38,11.05,12.45,-1.0,0.26,17.34,3,3,26.32,73.68,1
DSM,Des Moines International Airport,Des Moines,IA,41.53,-93.66,167,6.24,4.32,-4.0,0.17,13.42,8,12,17.37,82.63,4
DTW,Detroit Metropolitan Airport,Detroit,MI,42.21,-83.35,1870,9.19,3.41,-2.0,0.17,17.99,12,107,17.03,82.97,16
DVL,Devils Lake Regional Airport,Devils Lake,ND,48.11,-98.91,12,-2.67,7.75,-7.0,0.17,22.75,1,2,16.67,83.33,0
EAU,Chippewa Valley Regional Airport,Eau Claire,WI,44.87,-91.49,12,15.92,10.5,-5.0,0.17,12.83,1,1,16.67,83.33,0
EGE,Eagle County Regional Airport,Eagle,CO,39.64,-106.92,25,-1.16,-7.32,-7.0,0.04,15.44,2,6,4.0,96.0,4
EKO,Elko Regional Airport,Elko,NV,40.82,-115.79,9,-5.78,-5.78,-11.0,0.11,14.33,1,1,11.11,88.89,0
ELM,Elmira/Corning Regional Airport,Elmira,NY,42.16,-76.89,35,22.03,15.89,-5.0,0.17,14.89,1,2,17.14,82.86,1
ELP,El Paso International Airport,El Paso,TX,31.81,-106.38,198,18.03,13.95,-1.0,0.23,13.57,6,12,23.35,76.65,2
ERI,Erie International Airport,Erie,PA,42.08,-80.18,10,-6.2,-9.2,-6.5,0.0,12.5,1,1,0.0,100.0,0
ESC,Delta County Airport,Escanaba,MI,45.72,-87.09,11,-4.64,-10.18,-3.0,0.0,13.64,1,1,0.0,100.0,0
