AIRLINE,AIRLINE_NAME,MONTH,MONTH_NAME,total_flights,avg_air_system_delay,avg_security_delay,avg_airline_delay,avg_late_aircraft_delay,avg_weather_delay,total_air_system_delay,total_airline_delay,total_late_aircraft_delay,total_weather_delay,total_security_delay
B6,JetBlue Airways,4,April,370,3.37,0.0,2.24,3.96,0.18,1248.0,829.0,1464.0,68.0,0.0
B6,JetBlue Airways,5,May,380,2.29,0.0,2.92,3.12,0.19,869.0,1111.0,1186.0,74.0,0.0
B6,JetBlue Airways,6,June,363,3.94,0.0,3.86,4.22,0.31,1432.0,1401.0,1531.0,112.0,0.0
B6,JetBlue Airways,7,July,419,3.51,0.0,4.81,6.33,0.29,1470.0,2014.0,2654.0,121.0,0.0
B6,JetBlue Airways,8,August,383,3.08,0.15,2.92,7.13,0.5,1180.0,1118.0,2730.0,190.0,57.0
B6,JetBlue Airways,9,September,358,3.05,0.0,3.58,2.92,0.23,1093.0,1283.0,1046.0,83.0,0.0
B6,JetBlue Airways,10,October,366,3.65,0.0,2.42,3.41,0.0,1336.0,884.0,1248.0,0.0,0.0
B6,JetBlue Airways,11,November,351,2.22,0.0,4.93,3.66,0.0,779.0,1731.0,1285.0,0.0,0.0
B6,JetBlue Airways,12,December,393,3.48,0.16,6.7,8.3,0.0,1366.0,2632.0,3261.0,0.0,62.0
DL,Delta Air Lines Inc.,1,January,1083,2.05,0.0,2.33,1.42,0.48,2217.0,2524.0,1543.0,520.0,0.0
DL,Delta Air Lines Inc.,2,February,1011,2.22,0.0,4.82,4.02,0.75,2243.0,4878.0,4061.0,754.0,0.0
DL,Delta Air Lines Inc.,3,March,1282,2.48,0.0,3.71,2.4,0.27,3185.0,4753.0,3079.0,351.0,0.0
DL,Delta Air Lines Inc.,4,April,1183,2.34,0.0,2.23,2.27,0.36,2767.0,2641.0,2683.0,421.0,0.0
DL,Delta Air Lines Inc.,5,May,1285,2.01,0.0,5.22,2.05,0.29,2589.0,6709.0,2637.0,375.0,0.0
DL,Delta Air Lines Inc.,6,June,1324,3.37,0.0,3.31,2.84,0.87,4466.0,4388.0,3762.0,1149.0,0.0
DL,Delta Air Lines Inc.,7,July,1413,2.09,0.0,5.02,2.4,0.73,2947.0,7089.0,3393.0,1028.0,0.0
DL,Delta Air Lines Inc.,8,August,1400,1.97,0.0,3.48,2.27,0.42,2759.0,4868.0,3184.0,594.0,0.0
DL,Delta Air Lines Inc.,9,September,1194,1.62,0.0,1.38,1.53,0.39,1930.0,1651.0,1829.0,467.0,0.0
DL,Delta Air Lines Inc.,10,October,1257,0.68,0.0,1.57,0.58,0.02,857.0,1979.0,726.0,26.0,0.0
DL,Delta Air Lines Inc.,11,November,1195,1.63,0.02,1.56,1.37,0.44,1948.0,1861.0,1637.0,525.0,21.0
DL,Delta Air Lines Inc.,12,December,1230,2.78,0.0,3.11,3.37,1.9,3423.0,3826.0,4141.0,2338.0,0.0
EV,Atlantic Southeast Airlines,1,January,863,3.45,0.0,3.94,4.15,0.09,2978.0,3397.0,3581.0,78.0,0.0
EV,Atlantic Southeast Airlines,2,February,766,4.2,0.0,4.14,5.54,0.55,3216.0,3175.0,4240.0,418.0,0.0
EV,Atlantic Southeast Airlines,3,March,916,2.42,0.0,4.33,5.19,0.11,2221.0,3966.0,4753.0,101.0,0.0
EV,Atlantic Southeast Airlines,4,April,801,3.1,0.0,3.02,3.69,0.69,2485.0,2420.0,2953.0,556.0,0.0
